time,id,Speed,xDistance,yDistance,Vx平均值,Vy平均值,grid_position,TTC_matrix,IS_matrix,Total_Risk_matrix,state,时间ID
16:48:52,563,16.7,5.7,-6.2,14.87,0.01,9 ,4.599678033511305,1.0920171297115069,2.8458475816114057,Medium Risk,1
16:48:53,558,10.9,6.6,-3,14.47,-0.01,9 ,2.030193382519344,0.9529351907083354,1.4915642866138397,Medium Risk,1
16:48:54,813,11.4,4.2,-3.1,13.97,0,9 ,2.030397998621266,0.6983209231204947,1.3643594608708802,Medium Risk,1
16:48:54,558,11.7,3.2,-3.1,13.97,0,9 ,1.9618379048829109,0.5960079556333447,1.2789229302581278,Medium Risk,1
16:48:54,303,11.8,2.7,-3.1,13.97,0,9 ,1.8935794372265744,0.5499398027836822,1.2217596200051284,High Risk,1
16:48:55,765,11.7,5.8,-3.4,13.52,0.01,9 ,3.6919719230358017,0.9142202075790904,2.303096065307446,Medium Risk,1
16:48:55,813,11.6,2.1,-3.2,13.52,0.01,8 ,1.9924645878291944,0.5204756443046511,1.2564701160669227,Medium Risk,1
16:48:55,558,11.6,2,-3.2,13.52,0.01,8 ,1.96438583450449,0.5131408553617424,1.238763344933116,Medium Risk,1
16:48:55,510,11.5,5.3,-3.5,13.52,0.01,9 ,3.1426848990234366,0.8636734039106233,2.00317915146703,Medium Risk,1
16:48:56,558,11.5,0.6,-3.2,13.32,0.03,8 ,1.7878658530604747,0.4460363711096325,1.1169511120850537,High Risk,1
16:48:56,765,11.1,3.6,-3.4,13.32,0.03,9 ,2.229487636570569,0.6783870893334003,1.4539373629519847,Medium Risk,1
16:48:56,510,11.1,3.4,-3.4,13.32,0.03,9 ,2.1649045355671004,0.658735784167492,1.411820159867296,Medium Risk,1
16:48:56,813,11.5,0.5,-3.2,13.32,0.03,8 ,1.77856499811158,0.4437159959078126,1.1111404970096963,High Risk,1
16:48:57,813,11.6,0,-3.5,13.23,0.02,8 ,2.145902857183348,0.481124949448058,1.3135139033157028,Medium Risk,1
16:48:57,765,11.6,2.6,-3.1,13.23,0.02,9 ,2.480654913793986,0.55617847098809,1.518416692391038,Medium Risk,1
16:48:57,510,11.6,2.5,-3.1,13.23,0.02,9 ,2.441707319861299,0.5474461748828584,1.4945767473720786,Medium Risk,1
16:48:57,1020,13.2,0.2,-4.8,13.23,0.02,8 ,154.89752421870205,0.6604010215155839,77.77896262010881,Low Risk,1
16:48:57,558,11.7,0.3,-3.4,13.23,0.02,8 ,2.229376833019388,0.4691943749191553,1.3492856039692716,Medium Risk,1
16:48:58,1020,12.5,0,-4,13.17,-0.01,8 ,5.961218134419692,0.5511084190209798,3.256163276720336,Medium Risk,1
16:48:58,510,11.2,0.8,-3.1,13.17,-0.01,8 ,1.624330772163277,0.4411019594108168,1.0327163657870468,High Risk,1
16:48:58,813,11.9,0.4,-3.3,13.17,-0.01,8 ,2.615376946044786,0.4579923176996007,1.5366846318721934,Medium Risk,1
16:48:58,765,11.2,0.7,-3.1,13.17,-0.01,8 ,1.612401620964301,0.4378624886957676,1.0251320548300344,High Risk,1
16:48:58,558,11.9,0.3,-3.6,13.17,-0.01,8 ,2.842224691670103,0.4977168113107367,1.6699707514904198,Medium Risk,1
16:48:58,303,12,0.3,-3.4,13.17,-0.01,8 ,2.91477247414353,0.470262141181591,1.6925173076625604,Medium Risk,1
16:48:59,1020,11.5,-0.2,-3.4,13.21,0,8 ,1.9905770153040787,0.4685409892335736,1.229559002268826,Medium Risk,1
16:48:59,765,11.8,0.8,-3.1,13.21,0,8 ,2.2690022102880403,0.440433686206557,1.3547179482472986,Medium Risk,1
16:48:59,510,11.8,0.8,-3.1,13.21,0,8 ,2.2690022102880403,0.440433686206557,1.3547179482472986,Medium Risk,1
16:49:00,1020,11,-0.4,-3.2,13.55,0.01,8 ,1.264170299680518,0.4380432245389678,0.8511067621097429,High Risk,1
16:49:00,510,11.6,0.3,-3.5,13.55,0.01,8 ,1.8005263813645187,0.4771532403228192,1.138839810843669,High Risk,1
16:49:01,1020,10.8,-2,-3.2,13.95,0.01,8 ,1.197584309871886,0.5051703346869163,0.8513773222794011,High Risk,1
16:49:01,796,10.2,6.3,-3,13.95,0.01,9 ,1.8602546899997665,0.9341201319775392,1.3971874109886528,Medium Risk,1
16:49:01,769,13.5,-6.8,-3.2,13.95,0.01,7 ,16.663543160241442,1.00607460949142,8.834808884866431,Low Risk,1
16:49:02,1020,10.8,-5.4,-3,14.14,0.02,7 ,1.8489529878815028,0.821389724190118,1.3351713560358105,Medium Risk,1
16:49:02,796,10.2,2.6,-2.6,14.14,0.02,9 ,0.9329972254784358,0.4889150748577885,0.7109561501681121,High Risk,1
16:49:03,787,9.7,0,-2.6,13.94,0.01,8 ,0.6130624383559481,0.3481864848089627,0.4806244615824554,High Risk,1
16:49:04,787,9.6,0,-2.8,13.9,0.02,8 ,0.6510092148258043,0.3755090521974211,0.5132591335116128,High Risk,1
16:49:06,811,10.7,6.9,-3,14,0,9 ,2.2792977044503697,1.0054316770138372,1.6423646907321034,Medium Risk,1
16:49:06,556,10.7,6.7,-2.9,14,0,9 ,2.211658557824172,0.9755950565094692,1.5936268071668205,Medium Risk,1
16:49:07,796,10.7,7.1,-2.9,13.83,0.02,9 ,2.449499959294544,1.0311484595384524,1.740324209416498,Medium Risk,1
16:49:07,811,11,4.3,-2.7,13.83,0.02,9 ,1.7934916897484878,0.6826532210131296,1.238072455380809,Medium Risk,1
16:49:07,556,10.9,3.9,-2.8,13.83,0.02,9 ,1.6380136014477096,0.6454968868868064,1.141755244167258,High Risk,1
16:49:08,811,11.1,1.1,-2.9,13.58,0,8 ,1.2501461039315451,0.4208309334178691,0.8354885186747072,High Risk,1
16:49:08,556,11.1,0.9,-2.8,13.58,0,8 ,1.1854446731038082,0.3990507883267643,0.7922477307152862,High Risk,1
16:49:09,556,11.4,0,-2.7,13.29,0.01,8 ,1.4278131296897485,0.3703149254669983,0.8990640275783733,High Risk,1
16:49:09,811,11.4,0.1,-2.6,13.29,0.01,8 ,1.3759477470249497,0.3568632174553163,0.8664054822401329,High Risk,1
16:49:11,540,16.9,3.8,-6.2,12.91,-0.01,9 ,1.8220673119228488,1.0119348231444938,1.4170010675336715,Medium Risk,1
16:49:13,540,14.7,5.4,-6.2,12.66,-0.02,9 ,4.0284103656894965,1.155383679301087,2.591897022495292,Medium Risk,1
16:49:17,777,13.8,-6.4,-2.6,14.48,-0.01,7 ,10.143805269780469,0.9076865269191378,5.525745898349802,Low Risk,1
16:49:18,777,13.8,-6.4,-2.6,15.01,0,7 ,5.704348815580697,0.8915175064781933,3.297933161029445,Medium Risk,1
16:49:19,777,14,-5.2,-2,15.64,0.01,7 ,3.395091076784292,0.7043887999144918,2.049739938349392,Medium Risk,1
16:49:19,267,13.2,-5.8,-1.8,15.64,0.01,7 ,2.4878667049317245,0.7677981153891906,1.6278324101604575,Medium Risk,1
16:49:20,777,12,-7.2,-0.8,16.28,0.01,4 ,1.692198765087542,0.8977174688413267,1.2949581169644344,Medium Risk,1
16:49:30,518,11.3,4.6,-3.7,17.7,-0.03,9 ,0.9222567427073416,0.7015917127456718,0.8119242277265067,High Risk,1
16:49:30,810,11.3,2.2,-3.6,17.7,-0.03,8 ,0.6591138673372305,0.5014100799329074,0.5802619736350689,High Risk,1
16:49:31,518,11.5,0.1,-3.1,17.89,-0.03,8 ,0.4853075068964141,0.366650316951215,0.4259789119238145,High Risk,1
16:49:31,773,11.9,0.1,-3.3,17.89,-0.03,8 ,0.5510767721956801,0.3902813312591076,0.4706790517273939,High Risk,1
16:50:01,539,12.5,6.8,-3,19.3,-0.03,9 ,1.0928299058888653,0.8458978525883114,0.9693638792385884,High Risk,1
16:50:01,780,12.6,3.3,-2.9,19.3,-0.03,9 ,0.6555978572372166,0.4999996979789252,0.577798777608071,High Risk,1
16:50:01,15,12.5,0,-2.9,19.3,-0.03,8 ,0.426406419333542,0.3300571044958161,0.3782317619146791,High Risk,1
16:50:02,2,12.3,6.1,-3,19.54,-0.04,9 ,0.9387868145690346,0.7689095481694566,0.8538481813692456,High Risk,1
16:50:02,539,12.7,0.7,-2.9,19.54,-0.04,8 ,0.4360866721155558,0.3374444370677333,0.3867655545916445,High Risk,1
16:50:02,1032,14.2,0,-3.4,19.54,-0.04,8 ,0.636580029467396,0.384579549803084,0.51057978963524,High Risk,1
16:50:03,1032,12.2,-0.2,-3,19.51,-0.07,8 ,0.4112443760305035,0.3403487713966951,0.3757965737135993,High Risk,1
16:50:03,520,12,4.1,-2.8,19.51,-0.07,9 ,0.6610030127360771,0.5620156818244486,0.6115093472802628,High Risk,1
16:50:03,539,13.2,0,-2.8,19.51,-0.07,8 ,0.4436609549568812,0.3169552890880641,0.3803081220224726,High Risk,1
16:50:04,1032,12.2,-0.8,-2.6,19.49,-0.02,8 ,0.3731024925377111,0.308091580638678,0.3405970365881945,High Risk,1
16:50:04,539,12.5,0.1,-2.6,19.49,-0.02,8 ,0.3721811682236056,0.2946851864299247,0.3334331773267652,High Risk,1
16:50:05,1032,12,-5.8,-2.6,19.66,-0.01,7 ,0.8296694064461755,0.7167519811730764,0.7732106938096259,High Risk,1
16:50:05,538,11.9,6.7,-6.2,19.66,-0.01,9 ,1.1762045772937393,1.0293875477947694,1.1027960625442543,High Risk,1
16:50:05,803,11.8,3.3,-5.9,19.66,-0.01,9 ,0.8599637864613123,0.7623182545120964,0.8111410204867044,High Risk,1
16:50:06,538,11.9,0.1,-5.8,19.8,-0.02,8 ,0.7341924552367743,0.6518232280486064,0.6930078416426904,High Risk,1
16:50:07,538,12,-1.7,-6,19.69,0,8 ,0.810841858154667,0.7026937937686045,0.7567678259616357,High Risk,1
17:18:59,1040,0,-1.6,-2.6,0.01,0,8 ,277.5334094995227,15.264337522473747,146.3988735109982,Low Risk,2
17:18:59,41,6,1.3,5.8,0.01,0,2 ,0.992138948537044,29.71952220342716,15.3558305759821,Low Risk,2
17:19:00,774,0,-7.4,2.6,0.38,0,4 ,20.58653181220744,6.36189313102054,13.474212471613988,Low Risk,2
17:19:00,41,6.9,2.8,6.5,0.38,0,3 ,1.0853287703861674,5.740552880030028,3.4129408252080973,Medium Risk,2
17:19:00,1040,0,-2.6,-2.4,0.38,0,7 ,9.287037277141277,2.8699899137911893,6.078513595466233,Low Risk,2
17:19:00,50,5.5,6.9,7.5,0.38,0,3 ,1.9900747219054515,8.2661325520718,5.128103636988626,Low Risk,2
17:19:00,267,0.6,7.1,0.4,0.38,0,6 ,32.17764108155842,5.767992444699044,18.972816763128733,Low Risk,2
17:19:00,12,0.7,7,0.8,0.38,0,6 ,21.948803680758303,5.714708630966421,13.831756155862363,Low Risk,2
17:19:00,20,0,-1.4,-2.6,0.38,0,8 ,7.750563286211759,2.3951705795753164,5.072866932893538,Low Risk,2
17:19:00,531,0.6,7.1,0,0.38,0,6 ,32.126696832579185,5.75886045014207,18.942778641360626,Low Risk,2
17:19:01,768,10.5,0,5.8,1.26,0,2 ,0.6276377015474516,2.583525338486769,1.6055815200171104,Medium Risk,2
17:19:01,267,1.5,7.3,0.8,1.26,0,6 ,30.471804095829302,3.2711461027286486,16.871475099278978,Low Risk,2
17:19:01,1040,0,-1,-2.6,1.26,0,8 ,2.209102026516117,1.2408394495995605,1.7249707380578387,Medium Risk,2
17:19:01,531,1.3,7.4,0,1.26,0,6 ,180.48780487804865,3.296221983586568,91.8920134308176,Low Risk,2
17:19:01,12,1.6,7.4,0.8,1.26,0,6 ,21.82732441751131,3.315428100873776,12.571376259192544,Low Risk,2
17:19:01,528,0.9,3,-2,1.26,0,9 ,9.98767666333515,1.6060401860990523,5.796858424717102,Low Risk,2
17:19:01,264,1.1,5.2,2.8,1.26,0,6 ,36.68279021176002,2.6307099651301207,19.656750088445072,Low Risk,2
17:19:02,1040,0.2,-1.2,-2.6,2.03,-0.01,8 ,1.5639135406067777,1.0049079381516903,1.284410739379234,Medium Risk,2
17:19:02,528,2.1,3.2,-2,2.03,-0.01,9 ,53.16763369727019,1.3242633059988218,27.245948501634505,Low Risk,2
17:19:02,264,1.5,5.3,2.5,2.03,-0.01,6 ,11.035333945362646,2.0564563520675647,6.545895148715106,Low Risk,2
17:19:02,25,2.4,2.8,-1.9,2.03,-0.01,9 ,9.121319473897632,1.187468489421993,5.154393981659813,Low Risk,2
17:19:02,772,0.8,-1.2,2.8,2.03,-0.01,5 ,2.474612747085657,1.0690384822414485,1.7718256146635527,Medium Risk,2
17:19:02,23,1.7,5.7,0.1,2.03,-0.01,6 ,17.221912214619703,2.0006035319619624,9.611257873290832,Low Risk,2
17:19:03,772,1,-1.4,2.6,2.9,-0.01,5 ,1.5533602472662098,0.867017686522576,1.210188966894393,High Risk,2
17:19:03,25,3.9,1.4,-1.7,2.9,-0.01,8 ,2.20010937798409,0.646607270718677,1.4233583243513834,Medium Risk,2
17:19:03,1040,1.2,-2.2,-2.2,2.9,-0.01,8 ,1.82906425733328,0.9134975628932512,1.3712809101132657,Medium Risk,2
17:19:03,528,3.9,4.2,-2,2.9,-0.01,9 ,4.647314151561519,1.3658353306356426,3.0065747410985804,Medium Risk,2
17:19:03,264,3.2,6.3,2.4,2.9,-0.01,6 ,22.39882957422615,1.979414093657663,12.189121833941906,Low Risk,2
17:19:03,15,0.5,3.6,2.4,2.9,-0.01,6 ,1.8020118540105152,1.270347790585129,1.536179822297822,Medium Risk,2
17:19:03,23,2.1,7.2,0,2.9,-0.01,6 ,8.988570568172362,2.1139865061355723,5.551278537153968,Low Risk,2
17:19:03,42,0.5,4.2,3,2.9,-0.01,6 ,2.1496701778662324,1.5154332946597666,1.8325517362629995,Medium Risk,2
17:19:03,532,2.4,0.9,-5.1,2.9,-0.01,8 ,10.336576315741244,1.5205443826764091,5.928560349208826,Low Risk,2
17:19:04,772,3.2,-0.4,2.6,4.04,0,5 ,3.12793018738785,0.6543835433308041,1.891156865359327,Medium Risk,2
17:19:04,25,4.9,2.8,-1.9,4.04,0,9 ,3.9300637202528734,0.841747945622914,2.385905832937894,Medium Risk,2
17:19:04,1040,3.2,-2.4,-2,4.04,0,8 ,3.714744197815294,0.7771488892352636,2.245946543525279,Medium Risk,2
17:19:04,528,5,5.7,-2.1,4.04,0,9 ,6.321058292814752,1.5110975619013352,3.9160779273580433,Medium Risk,2
17:19:04,532,2.5,0.5,-5.3,4.04,0,8 ,3.4545961464519577,1.3242782454179065,2.3894371959349323,Medium Risk,2
17:19:05,772,4.8,0,2.6,5.31,0.01,5 ,5.08796886640141,0.5641514473807965,2.8260601568911032,Medium Risk,2
17:19:05,25,5.2,4.2,-3.5,5.31,0.01,9 ,49.24964891176426,1.186274831287575,25.21796187152592,Low Risk,2
17:19:05,1040,4,-2.8,-2,5.31,0.01,7 ,2.624641794582588,0.7466175769603837,1.685629685771486,Medium Risk,2
17:19:05,532,3.7,0.1,-5.2,5.31,0.01,8 ,3.228386747661934,1.1285115113659017,2.178449129513918,Medium Risk,2
17:19:05,282,6.2,1.5,2.9,5.31,0.01,5 ,3.6644220520180126,0.7084365526896248,2.186429302353819,Medium Risk,2
17:19:05,27,6.3,1.8,2.7,5.31,0.01,5 ,3.2744974583245727,0.7041035667664683,1.9893005125455203,Medium Risk,2
17:19:05,32,6.3,6,-2.5,5.31,0.01,9 ,6.5590936040920855,1.410378618451991,3.98473611127204,Medium Risk,2
17:19:06,772,5.8,0,2.8,6.67,0,5 ,3.214695752009184,0.5420821648636563,1.87838895843642,Medium Risk,2
17:19:06,282,6.4,1.9,2.6,6.67,0,5 ,11.882835563176858,0.6234425873086991,6.253139075242778,Low Risk,2
17:19:06,25,4.5,4.8,-5,6.67,0,9 ,3.192579171103355,1.3418642629379192,2.267221717020637,Medium Risk,2
17:19:06,32,7.1,6.7,-2.2,6.67,0,9 ,16.361833143632477,1.365262988762882,8.86354806619768,Low Risk,2
17:19:06,1040,6.2,-1.6,-1.6,6.67,0,8 ,4.80412250487676,0.4380685425547149,2.6210955237157374,Medium Risk,2
17:19:06,532,4.9,-0.2,-5.3,6.67,0,8 ,2.994789521440118,1.026814406836482,2.0108019641383,Medium Risk,2
17:19:06,27,6.5,2,2.7,6.67,0,5 ,19.649470896387665,0.6505101215898601,10.14999050898876,Low Risk,2
17:19:07,784,11.5,-7,5.4,7.98,0.01,1 ,2.510886161455097,1.5648065795172483,2.0378463704861725,Medium Risk,2
17:19:07,772,7.8,0,3,7.98,0.01,5 ,16.574011894190274,0.5309940355931693,8.552502964891723,Low Risk,2
17:19:07,27,7.2,2.6,2.4,7.98,0.01,6 ,4.530515769413169,0.6262828981166675,2.578399333764918,Medium Risk,2
17:19:07,25,5.6,3.1,-5,7.98,0.01,9 ,2.470815183007572,1.0412839822155115,1.7560495826115416,Medium Risk,2
17:19:07,1040,7.2,0,-1.8,7.98,0.01,8 ,2.304719026133504,0.3185964213559015,1.311657723744703,Medium Risk,2
17:19:07,528,5.4,6.3,-5.1,7.98,0.01,9 ,3.140462601544957,1.434666881404633,2.287564741474795,Medium Risk,2
17:19:07,282,7.3,2.6,2.4,7.98,0.01,6 ,5.195783623448413,0.6262828981166675,2.91103326078254,Medium Risk,2
17:19:07,42,8.3,1,3.1,7.98,0.01,5 ,10.147548523634278,0.5765355346584233,5.362042029146351,Low Risk,2
17:19:08,784,10.8,-3.8,5.2,8.7,0.01,1 ,3.065451924215049,1.0917661084670458,2.078609016341048,Medium Risk,2
17:19:08,27,7.6,2.4,2.4,8.7,0.01,5 ,3.082738267769924,0.5753557717456376,1.8290470197577808,Medium Risk,2
17:19:08,25,6.5,1.7,-4.6,8.7,0.01,8 ,2.22810864556012,0.8313191309572566,1.529713888258688,Medium Risk,2
17:19:08,42,9,1.4,2.9,8.7,0.01,5 ,10.698704067792656,0.5458830542335229,5.622293561013089,Low Risk,2
17:19:08,1040,8.2,0,-1.8,8.7,0.01,8 ,3.5927731574555435,0.3051284758471198,1.948950816651332,Medium Risk,2
17:19:08,528,6.7,5.4,-4.7,8.7,0.01,9 ,3.5776561571227843,1.2135485884692505,2.3956023727960174,Medium Risk,2
17:19:08,282,7.6,2.5,2.4,8.7,0.01,6 ,3.147617257478943,0.5874646496171,1.8675409535480207,Medium Risk,2
17:19:09,784,10.8,-1.8,5,9.24,0.02,2 ,3.404359890833943,0.874109532162134,2.1392347114980383,Medium Risk,2
17:19:09,282,9,3.4,2.9,9.24,0.02,6 ,18.54099284057908,0.7350595806560797,9.638026210617578,Low Risk,2
17:19:09,25,7.2,0.8,-4.3,9.24,0.02,8 ,2.142939324748685,0.7194340606520234,1.4311866927003545,Medium Risk,2
17:19:09,42,9.4,2.6,3,9.24,0.02,6 ,24.660996493375908,0.6529976474210055,12.656997070398456,Low Risk,2
17:19:09,1040,8.8,0,-1.8,9.24,0.02,8 ,4.0814323297332304,0.296077915946093,2.1887551228396616,Medium Risk,2
17:19:09,528,8,4.9,-4,9.24,0.02,9 ,5.096885993770303,1.0404417855824126,3.068663889676358,Medium Risk,2
17:19:09,27,9.7,3.9,2.9,9.24,0.02,6 ,10.54288362856012,0.7994171420682241,5.671150385314172,Low Risk,2
17:19:09,1062,9.9,2.2,3,9.24,0.02,5 ,5.628346252770698,0.6119297323051138,3.120137992537906,Medium Risk,2
17:19:10,784,10.2,-0.8,4.2,9.41,0.01,2 ,5.405234369116309,0.6968882878993186,3.0510613285078136,Medium Risk,2
17:19:10,27,9.8,4.6,2.7,9.41,0.01,6 ,13.641756078356885,0.8693931326563084,7.255574605506595,Low Risk,2
17:19:10,42,9.8,1.9,2.9,9.41,0.01,5 ,8.867095345106828,0.5651025978887847,4.716098971497806,Medium Risk,2
17:19:10,1040,9.5,0,-2,9.41,0.01,8 ,21.97930535081601,0.3259905912817283,11.152647971048866,Low Risk,2
17:19:10,528,8.9,5,-3.1,9.41,0.01,9 ,11.512652171459637,0.9589056325522518,6.235778902005944,Low Risk,2
17:19:10,282,9.8,4.8,2.8,9.41,0.01,6 ,14.212412054621945,0.9057612060938068,7.559086630357875,Low Risk,2
17:19:11,784,9.8,-0.6,4,9.16,0,2 ,6.310061908317213,0.668211456216025,3.489136682266619,Medium Risk,2
17:19:11,27,9.4,5.1,2.8,9.16,0,6 ,24.14139121624704,0.9611730914826908,12.551282153864866,Low Risk,2
17:19:11,25,9.5,2.1,-2.2,9.16,0,8 ,8.919006642666014,0.5024503277715413,4.710728485218778,Medium Risk,2
17:19:11,1040,10,0,-2,9.16,0,8 ,2.378121284185494,0.3304093002275449,1.3542652922065197,Medium Risk,2
17:19:11,528,9.3,5.2,-2.3,9.16,0,9 ,40.32586943497714,0.9393449822260126,20.632607208601577,Low Risk,2
17:19:11,282,9.3,5.1,2.9,9.16,0,6 ,41.60890820956757,0.9692319022552576,21.289070055911417,Low Risk,2
17:19:12,784,9,-1,3.6,8.6,0.02,2 ,9.318017546741578,0.6370344230143078,4.977525984877943,Low Risk,2
17:19:12,27,8.9,5.1,2.6,8.6,0.02,6 ,19.019770871094504,0.976019314895548,9.997895092995028,Low Risk,2
17:19:12,25,10,3.4,-1.4,8.6,0.02,9 ,2.624565523551068,0.6269148211828801,1.625740172366974,Medium Risk,2
17:19:12,1040,9.8,0,-1.8,8.6,0.02,8 ,1.498780062700389,0.3068970378125306,0.90283855025646,High Risk,2
17:19:12,528,10.1,6.3,-1.6,8.6,0.02,9 ,4.330513464010179,1.108239303211916,2.7193763836110474,Medium Risk,2
17:19:12,282,9,5.3,2.6,8.6,0.02,6 ,14.722521798062624,1.0065180851933524,7.864519941627988,Low Risk,2
17:19:13,784,7.5,-2,3,8.16,0.01,5 ,5.4546412290919655,0.6310974684222035,3.0428693487570846,Medium Risk,2
17:19:13,282,8.8,5.9,2.6,8.16,0.01,6 ,10.058567490299584,1.128534328197261,5.593550909248423,Low Risk,2
17:19:13,25,9.9,4.5,-0.9,8.16,0.01,6 ,2.6359182732265647,0.8032559391198056,1.719587106173185,Medium Risk,2
17:19:13,1040,9.8,0,-1.6,8.16,0.01,8 ,0.9750188753065936,0.2800559116568333,0.6275373934817134,High Risk,2
17:19:13,527,9.5,2,-2.1,8.16,0.01,8 ,2.162575131296148,0.5076013398780104,1.335088235587079,Medium Risk,2
17:19:13,27,8.8,5.9,2.7,8.16,0.01,6 ,10.122485653689056,1.1357057113638904,5.629095682526473,Low Risk,2
17:19:14,784,7.5,-2.8,2.8,7.54,-0.01,4 ,96.56482011366538,0.721036366605142,48.64292824013526,Low Risk,2
17:19:14,25,9.9,6.1,-0.4,7.54,-0.01,6 ,2.58920705465128,1.1131294918870338,1.851168273269157,Medium Risk,2
17:19:14,1040,10,0,-2.4,7.54,-0.01,8 ,0.9752159556873076,0.4370140322645189,0.7061149939759133,High Risk,2
17:19:14,527,10.1,3.3,-1.9,7.54,-0.01,9 ,1.486878724274154,0.693374940376097,1.0901268323251254,High Risk,2
17:19:15,773,8.5,-6.8,-0.2,7.71,0.02,4 ,8.60071257356155,1.2250075344731417,4.9128600540173455,Low Risk,2
17:19:15,784,7.8,-2.6,2.6,7.71,0.02,4 ,40.41762315583259,0.6621104319735943,20.53986679390309,Low Risk,2
17:19:15,1036,8.8,-6.6,-0.8,7.71,0.02,4 ,6.093919462417786,1.197162816683712,3.645541139550749,Medium Risk,2
17:19:15,527,10,3.7,-2.2,7.71,0.02,9 ,1.8789600134354263,0.7751393677463593,1.3270496905908928,Medium Risk,2
17:19:15,15,10.1,1.3,-2.3,7.71,0.02,8 ,1.1049760042352728,0.4757401399923541,0.7903580721138135,High Risk,2
17:19:16,784,9,-0.2,2.2,9.13,0.02,5 ,16.860327212516932,0.3655476578022094,8.612937435159571,Low Risk,2
17:19:16,773,8.2,-6.2,-0.2,9.13,0.02,4 ,6.662813118795087,1.0264826809361325,3.8446478998656097,Medium Risk,2
17:19:16,1036,8.2,-6.4,-0.4,9.13,0.02,4 ,6.887579955907466,1.0611105868117776,3.9743452713596215,Medium Risk,2
17:19:16,1022,8.2,-7.2,-0.4,9.13,0.02,4 ,7.745362924512712,1.1932618787025064,4.469312401607609,Medium Risk,2
17:19:17,784,10,0,2.2,10.6,0.01,5 ,3.66053699387672,0.3378622390846507,1.999199616480685,Medium Risk,2
